nombre,telefono,direccion,latitud,longitud,municipio,categoria,subCategorias,activo,google_place_id_posible_match
Mary's Beauty Salon & Esthetic,(787) 636-7519,"Espacio Comercial 103, 617 C. Ferrocarril, Ponce, 00717, Puerto Rico",18.0060855,-66.6150756,Ponce,Esteticas,"Salon de Belleza, Faciales",true,ChIJQUgt1DjVHIwRrSwIewohy3A
My Curly Room by. Noeli Marie,(939) 415-3222,"1133 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",17.9981511,-66.6211687,Ponce,Salones de Belleza,Salon de Belleza,true,ChIJ9YC6lcorHYwRt3dzZEVcfc8
AJ’s Beauty Salon,(787) 974-4226,"BO, Cll Morena, Ponce, 00716, Puerto Rico",17.9805273,-66.62070489999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ_eDn904rHYwR37839boWAQA
D'room Beauty Salon,(939) 267-1962,"Avenida Hostos, Ponce, 00717, Puerto Rico",18.0008531,-66.6134811,Ponce,Salones de Belleza,"Cuidado Capilar, Cabello",true,ChIJVWRwzjorHYwRx-QS8ki1MvA
A&D Beauty Salon,(787) 444-4512,"38 Av. Padre Noel, Ponce, 00716, Puerto Rico",17.9818087,-66.6209117,Ponce,Salones de Belleza,Cabello,true,ChIJEYxGfu4rHYwRgFBiqgeQwLY
Salon Deluxe,(787) 842-2003,"2968 Av. Emilio Fagot, Ponce, 00716, Puerto Rico",18.0171404,-66.59965489999999,Ponce,Spas,"Salon de Belleza, Cuidado Capilar, Bienestar, Spa",true,ChIJC_yd5JDVHIwRoH412iiEUzw
Ruth Carrasquillo Salon,(787) 812-5856,"Boulevard Miguel Pou, 1512 Marginal Los Paseos, Ponce, 00716, Puerto Rico",18.0123981,-66.59992609999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ1e3d2s7VHIwRcGCFaV55QDE
The Black White Salon LLC,(787) 974-5150,"Edificio Gómez, #76 C. Cristina Oficina 3b, Ponce, 00733, Puerto Rico",18.0119229,-66.6132822,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Bienestar, Cabello",true,ChIJUfC-DREqHYwRhpnHci8ohWk
An Studio,(787) 233-0689,"2948+JXR, Calle Eduardo Ruberte, Ponce, 00728, Puerto Rico",18.0066002,-66.63262139999999,Ponce,Salones de Belleza,Salon de Belleza,true,ChIJt1Nq5lwrHYwRkD3F1r2gRRY
"Beauty Room Nails, Braids y algo más",(939) 222-9207,"1127 Av. Muñoz Rivera, Ponce, 00730, Puerto Rico",17.9978332,-66.6211424,Ponce,Salones de Belleza,"Salon de Belleza, Unas, Cabello",true,ChIJv0fnEwArHYwRVHms_6QTqfc
SS Beauty Salon,(939) 235-5674,"3276 AVE FD ROOSEVELT, Ponce, 00728, Puerto Rico",18.0083017,-66.6297494,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJA2RIQ_krHYwR23pCBk2mQEk
The Beauty Salon by Noelia,(787) 234-8510,"35 Cll 38 LL, Ponce, 00728, Puerto Rico",18.0157444,-66.6508921,Ponce,Salones de Belleza,Cabello,true,ChIJA17irTUrHYwR1NhmsdJ2PMs
By Natcha Salon,(787) 973-0000,"1241 Paseo Las Monjitas, Ponce, 00730, Puerto Rico",18.0365459,-66.586558,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ086xJCnVHIwRGX5eqREzglY
SmartStyle,(787) 848-9251,"Bo Pampanos Located Inside Walmart #2026, Ponce, 00732, Puerto Rico",17.997432,-66.642146,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Bienestar",true,ChIJAYWIVwUqHYwRtM1MMo15ONs
"Miranda Beauty | Hair, Nails, Barber & Lashes",(787) 723-8625,"1302 Ashford Ave, San Juan, 00907, Puerto Rico",18.4552881,-66.0697622,San Juan,Barberias,"Salon de Belleza, Cuidado Capilar, Bienestar, Tienda, Cortes",true,ChIJK1BgSDhvA4wRgEi2dLFJtT0
Emily's Beauty & Hair Extensions,(787) 448-9012,"Calle #3 F21 Urb. Jardines de Fagot, Ponce, 00716, Puerto Rico",18.015396,-66.599857,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Tienda, Cabello",true,ChIJRa5WyZvVHIwRPIf2paNBlPI
Kafuné Hair Salon,(787) 241-4510,"El Tuque, Ponce, 00728, Puerto Rico",17.9852228,-66.6583277,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJQb8zR4cpHYwR_2rfMbaWWJo
Gladys Salon,(787) 843-4037,"Urb Morell Campos 7, C. Victoria, Ponce, 00728, Puerto Rico",18.0119381,-66.63373539999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ8Rx1AlorHYwRrxEg8mN31wo
Alondra Ortolaza Beauty Lab,(787) 519-6091,"del sur, 4007 Cll Carlos Cartagena, Ponce, 00728, Puerto Rico",17.9993527,-66.62735340000002,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJofRXbyMrHYwROY5PlHQLWAQ
OMG SALON,(939) 499-2997,"Paseo Del Sur, 2421 Ponce Bypass, Ponce, 00730, Puerto Rico",17.9962682,-66.6247431,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJNzZIsr4rHYwRxLDVi3I13s4
Estilos Salon & Spa,(787) 843-0085,"1 Calle Concordia, Ponce, 00717, Puerto Rico",18.008276,-66.614471,Ponce,Spas,Salon de Belleza,true,ChIJXTTr04vVHIwRg2vYSiICZM4
GGNails & Salon by Gladys Gómez,(787) 406-0263,"2197 BLVD. LUIS A FERRE CONDOMINIO, Av. Las Américas LOCAL 108, Ponce, 00717, Puerto Rico",18.003905,-66.6212085,Ponce,Salones de Belleza,"Salon de Belleza, Unas, Cabello",true,ChIJ4eOf9ZsrHYwRSGvGVtfliQc
Jaileen Salón,(787) 239-0829,"Ave. Tito Castro, #1482 Bo Suite 102, Ponce, 00716, Puerto Rico",18.0377361,-66.5836868,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJy8XZ3pLVHIwRnvJ2SK_PdKQ
EC Salon,(939) 217-6001,"Edif Julita, 1431 C. Salud, Ponce, 00730, Puerto Rico",18.0116283,-66.6112175,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJkbO9DQDVHIwRBDmLQM0GXGc
LS Brows & Lashes by Luz Sellyta,(787) 843-9543,"22 Cll Petardos, Ponce, 00717, Puerto Rico",18.0055308,-66.6206993,Ponce,Salones de Belleza,"Salon de Belleza, Lashes y Cejas",true,ChIJBX8AZw4rHYwRbhqYdVPcH3U
Nat Beauty Professional,(939) 246-1617,"1218 Avenida Hostos, Ponce, 00717, Puerto Rico",18.0011931,-66.6134649,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ_f8P5cfVHIwR865SABBqtvs
BLO Beauty,(939) 644-2427,"2427 Paseo Perla del Sur, Ponce, 00717, Puerto Rico",17.9963529,-66.6250814,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJAxRRNgArHYwR0U19G7HT01Q
Salliam Art Of Beauty,(939) 292-4097,"Legacy Office Park, suite 205, Ponce, 00780, Puerto Rico",18.042354,-66.5508712,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJR4QlqCjVHIwRklmbLbfABGw
𝚋𝚢 𝐌𝐄𝐋𝐘 𝑁𝑎𝑖𝑙𝑠 & 𝐵𝑒𝑎𝑢𝑡𝑦 𝑆𝑡𝑢𝑑𝑖𝑜,(787) 601-2493,"104 C. Atocha, Ponce, 00730, Puerto Rico",18.0155435,-66.6138095,Ponce,Salones de Belleza,Salon de Belleza,true,ChIJUSju5tbVHIwR2MWWOmpHa6Y
Naiostyle Beauty Academy & Supply,(787) 235-0435,"78 Calle Prol Vives, Ponce, 00731, Puerto Rico",18.0141221,-66.6146918,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ_zHCdXHVHIwREhnLpt6YRwM
Believe Beauty Salón,(787) 432-8221,"PR-511 km 0.9, Coto Laurel, Ponce 00780, Puerto Rico",18.055263,-66.5516277,Coto Laurel,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJz5-szaXVHIwRyuuu-_JFqPM
Salón By Patricia,(787) 709-9012,"Casco urbano, 89 C. Unión, Ponce, 00730, Puerto Rico",18.0130446,-66.6149264,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJK_lSSADVHIwRnINHNXoFzeI
consient-t,(787) 359-7670,"85 C. Guadalupe, Ponce, 00730, Puerto Rico",18.0156204,-66.6148549,Ponce,Salones de Belleza,Salon de Belleza,true,ChIJBzrQjHLVHIwRvaIS1TO6c24
Daly's Nails & Hairs Beauty Salon,(939) 639-4393,"1652 Calle Capitan Correa, Ponce, 00717, Puerto Rico",18.0086934,-66.6195403,Ponce,Salones de Belleza,"Salon de Belleza, Unas, Cabello",true,ChIJubwTChorHYwRkEKlMRTTw0c
ela's Glamour salon & spa,(787) 232-2075,"PR-121 km 13.3, Susúa Baja, Yauco 00698, Puerto Rico",18.0196349,-66.87380750000001,Susúa Baja,Spas,"Salon de Belleza, Cuidado Capilar, Bienestar, Spa",true,ChIJ73q9uZEzHYwRFC1xJTzgBOA
#HAIR BY JORGE SALON,(939) 319-7631,"C. Arq. Jose G. Besosa, San Juan, 00918, Puerto Rico",18.415101,-66.0621069,San Juan,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Bienestar, Cabello",true,ChIJlfoS3QppA4wRCafc1tx9O68
Clip Salón & Spa,(407) 247-2344,"28MQ+M8V, Ponce, 00728, Puerto Rico",18.0342255,-66.6616031,Ponce,Spas,Salon de Belleza,true,ChIJU9a9y_krHYwRon79nBR1p34
Corte Fino Alta Peluquería- Microblading studio,(787) 599-5940,"Carr Puerto Rico 2 km 41.6, Vega Baja, 00693, Puerto Rico",18.4442218,-66.4317082,Vega Baja,Salones de Belleza,"Salon de Belleza, Cuidado Capilar",true,ChIJJVo7UYIXA4wROTOrM9wDpFE
Griselle Garcia Salon,(787) 792-7626,"1222 Av. Américo Miranda, San Juan, 00921, Puerto Rico",18.3993743,-66.083742,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJtUOxAlhoA4wRHzF1r-AadrI
Melmar Face & Brows,(787) 974-7517,"1675 Calle Capitan Correa, Ponce, 00717, Puerto Rico",18.00966,-66.6193747,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Lashes y Cejas",true,ChIJU24esu8rHYwREkkdVDjVd7g
Crea’tif Salon And Spa,(787) 789-6412,"Centro Comercial, Av. Esmeralda Local 1, Guaynabo, 00969, Puerto Rico",18.371014,-66.10051469999999,Guaynabo,Spas,"Salon de Belleza, Cuidado Capilar",true,ChIJdXd3Dc5pA4wRulfSHBg0WZc
Beautiful Forever Clinic,(787) 769-4651,"Escorial Shopping Village, Av. 65 de Infantería, Carolina, 00987, Puerto Rico",18.3944476,-65.9935333,Carolina,Spas,"Salon de Belleza, Cuidado Capilar, Bienestar, Spa",true,ChIJT-U-3zBnA4wRZONBr4wirss
Vale Salon,(787) 722-0696,"651 PR-25, San Juan, 00907, Puerto Rico",18.4565955,-66.0847078,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJuZ5-fiVvA4wR3CWs1mHor_A
Blondes Salon,(787) 998-2288,"433 Calle Andalucia, San Juan, 00920, Puerto Rico",18.4126623,-66.07815529999999,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJtUC8R-5oA4wRNeGXzKYZcQY
Unique Studio by Miosotis Rodríguez,(787) 672-4361,"1127 Av. Muñoz Rivera unit 2, Ponce, 00717, Puerto Rico",17.9979419,-66.6210804,Ponce,Salones de Belleza,Salon de Belleza,true,ChIJIWr27usrHYwRpI1jCJLSL9A
Platinum Salon by Marlene,(787) 900-5452,"956 Cll 42 SE, Río Piedras, San Juan 00921, Puerto Rico",18.3993907,-66.07239870000001,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJM4lwyY9oA4wRAQ1748AQk3Q
Aba Beauty Lounge,(787) 250-8256,"00927, Avenue de Diego, San Juan, 00921, Puerto Rico",18.3834994,-66.07285809999999,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ8c-XMkJoA4wRBKG9LPzrkJ0
Eunelis Salón,(787) 841-5852,"2C45+JQJ, 1212 Calle Acacia Suite 101, Ponce, 00716, Puerto Rico",18.0065894,-66.5906021,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJg2aNu2_VHIwReeGcTRyqLcY
OM Studio,(787) 268-1023,"1353 Av. Juan Ponce de León, San Juan, 00907, Puerto Rico",18.4488845,-66.0717439,San Juan,Salones de Belleza,Cuidado Capilar,true,ChIJuR_RxoRpA4wRpIASj6qFgdI
QS Salon by José Quiñones,(787) 985-0079,"Urb Altamira 592 Calle Aldebaran, San Juan, 00920, Puerto Rico",18.3986922,-66.1050362,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ6VUUM-5pA4wRcwIqZZLQ3ro
D'Glenys Mediterranean Salon & Spa,(787) 200-4612,"460 Av. Lic. Eugenio María de Hostos, San Juan, 00918, Puerto Rico",18.4174754,-66.0623809,San Juan,Spas,"Salon de Belleza, Cuidado Capilar",true,ChIJ6wY4TpRoA4wROoNT391nukM
Top Beauty Salon,(787) 508-0298,"1367 Avenida F.D. Roosevelt, San Juan, 00920, Puerto Rico",18.4138621,-66.0932073,San Juan,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ8ziDQwNpA4wRhvHK_5hWNPg
Tropical Nails Ponce,(787) 840-7102,"Tropical Nails Ponce, 1591 Blvr. Miguel A. Pou, Ponce, 00717, Puerto Rico",18.0071552,-66.59586829999999,Ponce,Salones de Belleza,"Salon de Belleza, Unas",true,ChIJC0FoitDVHIwREvgkcH2csb8
Marta Laracuente Salón,(787) 844-5720,"1669 PR-578, Ponce, 00716, Puerto Rico",18.0070319,-66.58749,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJIdILat_VHIwRrosxdNEo-_M
Hair Salon By Mailene Rosa,(787) 636-8220,"549 Cll Aceitillo, Ponce, 00731, Puerto Rico",18.0053756,-66.59103689999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJq6qq6r7VHIwRzZpuCASgeZ8
Bloom,(787) 781-2525,"100 Av. San Patricio, Guaynabo, 00968, Puerto Rico",18.4085872,-66.10552559999999,Guaynabo,Salones de Belleza,Salon de Belleza,true,ChIJk8a9HAZpA4wRVgmnY8BmLhY
Esteban Montes Salon,(787) 725-1111,"1316 Ave Ponce De León, Esq, Av. Hipódromo, San Juan, 00907, Puerto Rico",18.4482631,-66.0714433,San Juan,Spas,"Salon de Belleza, Spa",true,ChIJJUpQEUZvA4wRj09ZaFNr-Us
Dream Hair Studio by Yazmin Oriol,(787) 337-0251,"3023 Av. Emilio Fagot, Ponce, 00716, Puerto Rico",18.0204537,-66.5996991,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJY4TrxtbVHIwRWaTQfV--eaI
Alta Peluquería By Jary Medina,(787) 836-6561,"18°03'28. 66°43'19., 4""N Calle 7, Ponce, Peñuelas 00731, Puerto Rico",18.0578889,-66.72213889999999,Ponce,Salones de Belleza,Salon de Belleza,true,ChIJRxyjqJksHYwR0faViEksw_o
Salón de Belleza Vilmarie,(787) 464-6080,"3VH6+CPM, PR-313 #736, Cabo Rojo, 00623, Puerto Rico",18.0805932,-67.1400527,Cabo Rojo,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Cabello",true,ChIJ3aTfnlJMHYwRdWPXcdzNngk
AP Salon by Alberto Pacheco,(787) 400-2426,"2-20 C. Virtud, Ponce, 00730, Puerto Rico",18.0139397,-66.61044799999999,Ponce,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJt1ey9YXVHIwRIaxLdm5j5WQ
Siempre Diva Salon,(787) 423-6847,"CC-11 Calle 37, Bayamón, 00956, Puerto Rico",18.3672294,-66.1622028,Bayamón,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJbzS3fQpqA4wRio3P7xdcGwM
Olga's Hair Designs,(787) 203-3154,"R5 Avenida Santa Juanita, Bayamón, 00956, Puerto Rico",18.3573964,-66.1651487,Bayamón,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJPYG3IudBA4wR_nJ0gIhLIls
BVMedAesthetic.Salon.Spa,(787) 484-4095,"Bella Vista, #10 Calle Nube, Ponce, 00716, Puerto Rico",18.023297,-66.59876609999999,Ponce,Spas,Spa,true,ChIJkwFTDMbVHIwRKdQNqGg5jcs
Blue Angel Salon,(787) 878-3727,"F772+H5G, Arecibo, 00612, Puerto Rico",18.463925,-66.7495589,Arecibo,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJ9zTWkHLnAowR1M79GZXUWcI
Hairstudio by Agustín,(787) 844-6305,"Ponce Mall, Ponce, 00731, Puerto Rico",17.9984709,-66.628502,Ponce,Salones de Belleza,"Cuidado Capilar, Bienestar, Cabello",true,ChIJQ4xuEQ4qHYwRdgxDw_lDfoA
Coach D Bellezza Salon,(787) 961-6665,"H-25 Av. Pino, Caguas, 00725, Puerto Rico",18.2180692,-66.0452561,Caguas,Salones de Belleza,"Salon de Belleza, Cabello",true,ChIJJckVYGpbA4wRcCVj12ELM1c
Elsas Salon Spa,(787) 640-5850,"Classic Court Shopping Center, 410 PR-693 local 4, Dorado, 00646, Puerto Rico",18.4653079,-66.2752088,Dorado,Spas,"Salon de Belleza, Spa",true,ChIJ1eOWSJsUA4wR2ZVklkDmdaI
AFD Salon & Nailbar by Shio,(787) 326-5973,"Estancias de Juana Diaz Bo. Amuelas #1, Juana Díaz, 00795, Puerto Rico",18.0308654,-66.4950796,Juana Díaz,Salones de Belleza,"Cuidado Capilar, Unas, Cabello",true,ChIJ0cmbHiLTHIwREeGjeICEUPg
Only For Men,(787) 843-8544,"4009 Cll Carlos Cartagena, Ponce, 00717, Puerto Rico",17.9993412,-66.6274536,Ponce,Salones de Belleza,"Cuidado Capilar, Bienestar",true,ChIJz_cT2A0qHYwROES6j5n0oE8
Bengie Men's Hair Stylist,(787) 447-9035,"X9XF+QCF, Ponce, 00717, Puerto Rico",17.9994343,-66.6264406,Ponce,Salones de Belleza,"Cuidado Capilar, Bienestar, Cabello",true,ChIJGx1lKwwqHYwRZ5tjt2A8PJY
Meyson Luxe Barber Studio,(787) 987-8779,"Coliseo Shopping Center, Local 107, Ponce, 00728, Puerto Rico",18.0008337,-66.6342494,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJw1a7UgArHYwRt3FwRgStFhw
Barberia Estilo Bless You,(787) 310-0033,"PR-503, 502 Com Ext el Yeso, Ponce, 00730, Puerto Rico",18.0305112,-66.6153688,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJ-zVLZX7VHIwRJ1U-6HCLpMI
Barberia JC's Style,(787) 662-0990,"407 Ave Principal N, Ponce, 00728, Puerto Rico",18.0127091,-66.6470255,Ponce,Barberias,"Cuidado Capilar, Cortes",true,ChIJk-iMV0EqHYwRGtL4SMbIAf4
House of Style,(787) 607-8732,"110 Calle 19, Ponce, 00728, Puerto Rico",18.0099595,-66.6442979,Ponce,Salones de Belleza,"Cuidado Capilar, Bienestar",true,ChIJc4ZaqkEqHYwRqrzWmuMelQc
Barber House,(939) 644-1678,"634 Cll Coto Canas, Ponce, 00717, Puerto Rico",18.009632,-66.624352,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJ9Uy5GOIrHYwRxtOGCvn5yL8
Barbería Rey,(787) 444-8894,"1635 P.º La Colonia, Ponce, 00717, Puerto Rico",18.0053409,-66.5960984,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJx3McrybVHIwRh8WrlaiA0lU
Mr. B,(939) 384-9636,"Bda, 3245 Calle la Cruz, Ponce, 00717, Puerto Rico",18.0062417,-66.6104459,Ponce,Salones de Belleza,"Cuidado Capilar, Bienestar",true,ChIJq7nPPiTVHIwRMm1zAG6kP-E
Who's Next Barber Shop,(939) 969-9887,"37 Cll Mendez Vigo, Ponce, 00730, Puerto Rico",18.0113449,-66.6156031,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJf8Ixx14rHYwRZWnx8X4RPHQ
Pipo's Xpert Cuts,(939) 261-2156,"3048 calle Rafael Martinez Nadal Esquina, C. 4, Ponce, 00728, Puerto Rico",17.9903196,-66.6573518,Ponce,Salones de Belleza,"Salon de Belleza, Cuidado Capilar, Bienestar",true,ChIJhcfKNikqHYwRj_P66p1wGnk
Golden Crown Barber Shop,(787) 259-4279,"1233 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",18.0001377,-66.6210907,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJ9SCa_XQrHYwRGJ0dxukmJrw
Mr Barbero Barber Shop,(787) 526-7910,"957 Av. Manuel Fernández Juncos, San Juan, 00907, Puerto Rico",18.4515753,-66.08062869999999,San Juan,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJ08HgMCZvA4wRn9wGvHzlNGE
Barberia Waco,(787) 843-0307,"57 Simon de la Torre, Ponce, 00730, Puerto Rico",18.0130797,-66.617092,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJdWtTIojVHIwR0zepe0-JKDg
THE BARBER OF CHANGE,(787) 601-5417,"28QV+F6C, Calle 11, Ponce, 00728, Puerto Rico",18.0386902,-66.65697469999999,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJw8Hhur0rHYwRCaFCsNDW8dU
High Class Barbershop,(939) 217-0142,"9 Av. Roosevelt, Ponce, 00728, Puerto Rico",18.0082618,-66.62901219999999,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJj8xUzIMrHYwROgMws0kBns4
Jaimito Barber,(939) 209-1681,"1617 PR-578, Ponce, 00731, Puerto Rico",18.0073074,-66.5910559,Ponce,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJvyDABucrHYwRExvwLBa3YB4
Pueblito Barber Shop,(787) 228-1140,"HC3 Box.13261 Bo. Encarnacion Sec. El Pueblito, Peñuelas 00624, Puerto Rico",17.9985883,-66.7214868,Encarnación,Barberias,"Cuidado Capilar, Bienestar, Cortes",true,ChIJDxqx0YUtHYwRO8xa-0SKk38
