place_id,nombre,telefono,direccion,municipio,latitud,longitud,categoria_principal,categorias_detectadas_busqueda,subcategorias_sugeridas,business_status,google_types
ChIJV2K5yZPVHIwRaEMmdYipj40,M Salon,(787) 812-3113,"1591 Paseo Mercedita suite 117 Plaza Nuevo Mundo, Boulevard Pou, Ponce, 00717, Puerto Rico",Ponce,18.0067071,-66.5958699,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Tienda|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest|store
ChIJ84Wl4w4qHYwRfeHKhb4TU4I,MS Salon,(787) 929-0303,"Perla del sur, 2435 Paseo Perla del Sur suite 101, Ponce, 00717, Puerto Rico",Ponce,17.9963677,-66.6256549,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJq2q9AffVHIwRjnIEB5_jOvA,Oops! Gossip Studio,(787) 535-8004,"2350, 1400 Ponce Bypass Suite 127, Ponce, 00716, Puerto Rico",Ponce,17.9952292,-66.6227035,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cuidado Capilar,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJ61_Zj-ErHYwR2eDL-F3IYW0,K&L The Beauty Room,(939) 731-7156,"1573 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",Ponce,18.0053593,-66.62077260000001,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJRWpxJBUrHYwR5QhJcocsXT0,Poliniza Beauty Lab,(787) 908-4317,"Urb. Punto Oro, C. el Gallardo, Ponce, 00728, Puerto Rico",Ponce,17.994776,-66.6461407,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJczjUHojVHIwR9IyxqT5LmhY,Ilas Salon,(787) 361-6155,"78 Calle Prol Vives, Ponce, 00731, Puerto Rico",Ponce,18.014091,-66.614633,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cuidado Capilar|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJo__GdI0rHYwRq5hFvZ-4oXo,Amada Beauty Salón,(939) 257-5952,"1260 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",Ponce,18.0012622,-66.6207817,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ99RkcTdvA4wR4dWgkCaEtXc,Saline Salon,(939) 338-1176,"66 C. Luisa, San Juan, 00907, Puerto Rico",San Juan,18.4540815,-66.07386029999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJzQ0zfO9oA4wRvvh0dB2L1VU,Velvet Salon & Spa,(787) 775-1130,"1111 Avenida F.D. Roosevelt, San Juan, 00920, Puerto Rico",San Juan,18.4148052,-66.0822225,Spas,Salones de Belleza|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJQUgt1DjVHIwRrSwIewohy3A,Mary's Beauty Salon & Esthetic,(787) 636-7519,"Espacio Comercial 103, 617 C. Ferrocarril, Ponce, 00717, Puerto Rico",Ponce,18.0060855,-66.6150756,Esteticas,Salones de Belleza|Esteticas,Salon de Belleza|Faciales,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ9YC6lcorHYwRt3dzZEVcfc8,My Curly Room by. Noeli Marie,(939) 415-3222,"1133 Av. Muñoz Rivera, Ponce, 00717, Puerto Rico",Ponce,17.9981511,-66.6211687,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ_eDn904rHYwR37839boWAQA,AJ’s Beauty Salon,(787) 974-4226,"BO, Cll Morena, Ponce, 00716, Puerto Rico",Ponce,17.9805273,-66.62070489999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJVWRwzjorHYwRx-QS8ki1MvA,D'room Beauty Salon,(939) 267-1962,"Avenida Hostos, Ponce, 00717, Puerto Rico",Ponce,18.0008531,-66.6134811,Salones de Belleza,Salones de Belleza,Cuidado Capilar|Cabello,OPERATIONAL,establishment|hair_care|point_of_interest
ChIJEYxGfu4rHYwRgFBiqgeQwLY,A&D Beauty Salon,(787) 444-4512,"38 Av. Padre Noel, Ponce, 00716, Puerto Rico",Ponce,17.9818087,-66.6209117,Salones de Belleza,Salones de Belleza,Cabello,OPERATIONAL,establishment|point_of_interest
ChIJC_yd5JDVHIwRoH412iiEUzw,Salon Deluxe,(787) 842-2003,"2968 Av. Emilio Fagot, Ponce, 00716, Puerto Rico",Ponce,18.0171404,-66.59965489999999,Spas,Salones de Belleza|Spas|Esteticas,Salon de Belleza|Cuidado Capilar|Bienestar|Spa,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest|spa
ChIJ1e3d2s7VHIwRcGCFaV55QDE,Ruth Carrasquillo Salon,(787) 812-5856,"Boulevard Miguel Pou, 1512 Marginal Los Paseos, Ponce, 00716, Puerto Rico",Ponce,18.0123981,-66.59992609999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJUfC-DREqHYwRhpnHci8ohWk,The Black White Salon LLC,(787) 974-5150,"Edificio Gómez, #76 C. Cristina Oficina 3b, Ponce, 00733, Puerto Rico",Ponce,18.0119229,-66.6132822,Salones de Belleza,Salones de Belleza|Barberias|Esteticas,Salon de Belleza|Cuidado Capilar|Bienestar|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest
ChIJt1Nq5lwrHYwRkD3F1r2gRRY,An Studio,(787) 233-0689,"2948+JXR, Calle Eduardo Ruberte, Ponce, 00728, Puerto Rico",Ponce,18.0066002,-66.63262139999999,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJv0fnEwArHYwRVHms_6QTqfc,"Beauty Room Nails, Braids y algo más",(939) 222-9207,"1127 Av. Muñoz Rivera, Ponce, 00730, Puerto Rico",Ponce,17.9978332,-66.6211424,Salones de Belleza,Salones de Belleza,Salon de Belleza|Unas|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJA2RIQ_krHYwR23pCBk2mQEk,SS Beauty Salon,(939) 235-5674,"3276 AVE FD ROOSEVELT, Ponce, 00728, Puerto Rico",Ponce,18.0083017,-66.6297494,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJA17irTUrHYwR1NhmsdJ2PMs,The Beauty Salon by Noelia,(787) 234-8510,"35 Cll 38 LL, Ponce, 00728, Puerto Rico",Ponce,18.0157444,-66.6508921,Salones de Belleza,Salones de Belleza,Cabello,OPERATIONAL,establishment|point_of_interest
ChIJ086xJCnVHIwRGX5eqREzglY,By Natcha Salon,(787) 973-0000,"1241 Paseo Las Monjitas, Ponce, 00730, Puerto Rico",Ponce,18.0365459,-66.586558,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJAYWIVwUqHYwRtM1MMo15ONs,SmartStyle,(787) 848-9251,"Bo Pampanos Located Inside Walmart #2026, Ponce, 00732, Puerto Rico",Ponce,17.997432,-66.642146,Salones de Belleza,Salones de Belleza|Barberias|Esteticas,Salon de Belleza|Cuidado Capilar|Bienestar,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest
ChIJK1BgSDhvA4wRgEi2dLFJtT0,"Miranda Beauty | Hair, Nails, Barber & Lashes",(787) 723-8625,"1302 Ashford Ave, San Juan, 00907, Puerto Rico",San Juan,18.4552881,-66.0697622,Barberias,Salones de Belleza,Salon de Belleza|Cuidado Capilar|Bienestar|Tienda|Cortes,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest|store
ChIJRa5WyZvVHIwRPIf2paNBlPI,Emily's Beauty & Hair Extensions,(787) 448-9012,"Calle #3 F21 Urb. Jardines de Fagot, Ponce, 00716, Puerto Rico",Ponce,18.015396,-66.599857,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cuidado Capilar|Tienda|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest|store
ChIJQb8zR4cpHYwR_2rfMbaWWJo,Kafuné Hair Salon,(787) 241-4510,"El Tuque, Ponce, 00728, Puerto Rico",Ponce,17.9852228,-66.6583277,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ8Rx1AlorHYwRrxEg8mN31wo,Gladys Salon,(787) 843-4037,"Urb Morell Campos 7, C. Victoria, Ponce, 00728, Puerto Rico",Ponce,18.0119381,-66.63373539999999,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJofRXbyMrHYwROY5PlHQLWAQ,Alondra Ortolaza Beauty Lab,(787) 519-6091,"del sur, 4007 Cll Carlos Cartagena, Ponce, 00728, Puerto Rico",Ponce,17.9993527,-66.62735340000002,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJNzZIsr4rHYwRxLDVi3I13s4,OMG SALON,(939) 499-2997,"Paseo Del Sur, 2421 Ponce Bypass, Ponce, 00730, Puerto Rico",Ponce,17.9962682,-66.6247431,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJXTTr04vVHIwRg2vYSiICZM4,Estilos Salon & Spa,(787) 843-0085,"1 Calle Concordia, Ponce, 00717, Puerto Rico",Ponce,18.008276,-66.614471,Spas,Salones de Belleza|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ4eOf9ZsrHYwRSGvGVtfliQc,GGNails & Salon by Gladys Gómez,(787) 406-0263,"2197 BLVD. LUIS A FERRE CONDOMINIO, Av. Las Américas LOCAL 108, Ponce, 00717, Puerto Rico",Ponce,18.003905,-66.6212085,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Unas|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJy8XZ3pLVHIwRnvJ2SK_PdKQ,Jaileen Salón,(787) 239-0829,"Ave. Tito Castro, #1482 Bo Suite 102, Ponce, 00716, Puerto Rico",Ponce,18.0377361,-66.5836868,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJkbO9DQDVHIwRBDmLQM0GXGc,EC Salon,(939) 217-6001,"Edif Julita, 1431 C. Salud, Ponce, 00730, Puerto Rico",Ponce,18.0116283,-66.6112175,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJBX8AZw4rHYwRbhqYdVPcH3U,LS Brows & Lashes by Luz Sellyta,(787) 843-9543,"22 Cll Petardos, Ponce, 00717, Puerto Rico",Ponce,18.0055308,-66.6206993,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Lashes y Cejas,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ_f8P5cfVHIwR865SABBqtvs,Nat Beauty Professional,(939) 246-1617,"1218 Avenida Hostos, Ponce, 00717, Puerto Rico",Ponce,18.0011931,-66.6134649,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJAxRRNgArHYwR0U19G7HT01Q,BLO Beauty,(939) 644-2427,"2427 Paseo Perla del Sur, Ponce, 00717, Puerto Rico",Ponce,17.9963529,-66.6250814,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJR4QlqCjVHIwRklmbLbfABGw,Salliam Art Of Beauty,(939) 292-4097,"Legacy Office Park, suite 205, Ponce, 00780, Puerto Rico",Ponce,18.042354,-66.5508712,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJUSju5tbVHIwR2MWWOmpHa6Y,𝚋𝚢 𝐌𝐄𝐋𝐘 𝑁𝑎𝑖𝑙𝑠 & 𝐵𝑒𝑎𝑢𝑡𝑦 𝑆𝑡𝑢𝑑𝑖𝑜,(787) 601-2493,"104 C. Atocha, Ponce, 00730, Puerto Rico",Ponce,18.0155435,-66.6138095,Salones de Belleza,Salones de Belleza,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ_zHCdXHVHIwREhnLpt6YRwM,Naiostyle Beauty Academy & Supply,(787) 235-0435,"78 Calle Prol Vives, Ponce, 00731, Puerto Rico",Ponce,18.0141221,-66.6146918,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJz5-szaXVHIwRyuuu-_JFqPM,Believe Beauty Salón,(787) 432-8221,"PR-511 km 0.9, Coto Laurel, Ponce 00780, Puerto Rico",Coto Laurel,18.055263,-66.5516277,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJK_lSSADVHIwRnINHNXoFzeI,Salón By Patricia,(787) 709-9012,"Casco urbano, 89 C. Unión, Ponce, 00730, Puerto Rico",Ponce,18.0130446,-66.6149264,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJBzrQjHLVHIwRvaIS1TO6c24,consient-t,(787) 359-7670,"85 C. Guadalupe, Ponce, 00730, Puerto Rico",Ponce,18.0156204,-66.6148549,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJubwTChorHYwRkEKlMRTTw0c,Daly's Nails & Hairs Beauty Salon,(939) 639-4393,"1652 Calle Capitan Correa, Ponce, 00717, Puerto Rico",Ponce,18.0086934,-66.6195403,Salones de Belleza,Salones de Belleza,Salon de Belleza|Unas|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ73q9uZEzHYwRFC1xJTzgBOA,ela's Glamour salon & spa,(787) 232-2075,"PR-121 km 13.3, Susúa Baja, Yauco 00698, Puerto Rico",Susúa Baja,18.0196349,-66.87380750000001,Spas,Salones de Belleza,Salon de Belleza|Cuidado Capilar|Bienestar|Spa,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest|spa
ChIJlfoS3QppA4wRCafc1tx9O68,#HAIR BY JORGE SALON,(939) 319-7631,"C. Arq. Jose G. Besosa, San Juan, 00918, Puerto Rico",San Juan,18.415101,-66.0621069,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cuidado Capilar|Bienestar|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest
ChIJU9a9y_krHYwRon79nBR1p34,Clip Salón & Spa,(407) 247-2344,"28MQ+M8V, Ponce, 00728, Puerto Rico",Ponce,18.0342255,-66.6616031,Spas,Salones de Belleza|Esteticas,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJJVo7UYIXA4wROTOrM9wDpFE,Corte Fino Alta Peluquería- Microblading studio,(787) 599-5940,"Carr Puerto Rico 2 km 41.6, Vega Baja, 00693, Puerto Rico",Vega Baja,18.4442218,-66.4317082,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cuidado Capilar,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJtUOxAlhoA4wRHzF1r-AadrI,Griselle Garcia Salon,(787) 792-7626,"1222 Av. Américo Miranda, San Juan, 00921, Puerto Rico",San Juan,18.3993743,-66.083742,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJU24esu8rHYwREkkdVDjVd7g,Melmar Face & Brows,(787) 974-7517,"1675 Calle Capitan Correa, Ponce, 00717, Puerto Rico",Ponce,18.00966,-66.6193747,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cuidado Capilar|Lashes y Cejas,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJdXd3Dc5pA4wRulfSHBg0WZc,Crea’tif Salon And Spa,(787) 789-6412,"Centro Comercial, Av. Esmeralda Local 1, Guaynabo, 00969, Puerto Rico",Guaynabo,18.371014,-66.10051469999999,Spas,Salones de Belleza,Salon de Belleza|Cuidado Capilar,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJT-U-3zBnA4wRZONBr4wirss,Beautiful Forever Clinic,(787) 769-4651,"Escorial Shopping Village, Av. 65 de Infantería, Carolina, 00987, Puerto Rico",Carolina,18.3944476,-65.9935333,Spas,Salones de Belleza|Esteticas,Salon de Belleza|Cuidado Capilar|Bienestar|Spa,OPERATIONAL,beauty_salon|establishment|hair_care|health|point_of_interest|spa
ChIJuZ5-fiVvA4wR3CWs1mHor_A,Vale Salon,(787) 722-0696,"651 PR-25, San Juan, 00907, Puerto Rico",San Juan,18.4565955,-66.0847078,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJtUC8R-5oA4wRNeGXzKYZcQY,Blondes Salon,(787) 998-2288,"433 Calle Andalucia, San Juan, 00920, Puerto Rico",San Juan,18.4126623,-66.07815529999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJIWr27usrHYwRpI1jCJLSL9A,Unique Studio by Miosotis Rodríguez,(787) 672-4361,"1127 Av. Muñoz Rivera unit 2, Ponce, 00717, Puerto Rico",Ponce,17.9979419,-66.6210804,Salones de Belleza,Salones de Belleza,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJM4lwyY9oA4wRAQ1748AQk3Q,Platinum Salon by Marlene,(787) 900-5452,"956 Cll 42 SE, Río Piedras, San Juan 00921, Puerto Rico",San Juan,18.3993907,-66.07239870000001,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ8c-XMkJoA4wRBKG9LPzrkJ0,Aba Beauty Lounge,(787) 250-8256,"00927, Avenue de Diego, San Juan, 00921, Puerto Rico",San Juan,18.3834994,-66.07285809999999,Salones de Belleza,Salones de Belleza|Esteticas,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJg2aNu2_VHIwReeGcTRyqLcY,Eunelis Salón,(787) 841-5852,"2C45+JQJ, 1212 Calle Acacia Suite 101, Ponce, 00716, Puerto Rico",Ponce,18.0065894,-66.5906021,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJuR_RxoRpA4wRpIASj6qFgdI,OM Studio,(787) 268-1023,"1353 Av. Juan Ponce de León, San Juan, 00907, Puerto Rico",San Juan,18.4488845,-66.0717439,Salones de Belleza,Salones de Belleza,Cuidado Capilar,OPERATIONAL,establishment|hair_care|point_of_interest
ChIJ6VUUM-5pA4wRcwIqZZLQ3ro,QS Salon by José Quiñones,(787) 985-0079,"Urb Altamira 592 Calle Aldebaran, San Juan, 00920, Puerto Rico",San Juan,18.3986922,-66.1050362,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ6wY4TpRoA4wROoNT391nukM,D'Glenys Mediterranean Salon & Spa,(787) 200-4612,"460 Av. Lic. Eugenio María de Hostos, San Juan, 00918, Puerto Rico",San Juan,18.4174754,-66.0623809,Spas,Salones de Belleza,Salon de Belleza|Cuidado Capilar,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJ8ziDQwNpA4wRhvHK_5hWNPg,Top Beauty Salon,(787) 508-0298,"1367 Avenida F.D. Roosevelt, San Juan, 00920, Puerto Rico",San Juan,18.4138621,-66.0932073,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJC0FoitDVHIwREvgkcH2csb8,Tropical Nails Ponce,(787) 840-7102,"Tropical Nails Ponce, 1591 Blvr. Miguel A. Pou, Ponce, 00717, Puerto Rico",Ponce,18.0071552,-66.59586829999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Unas,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJIdILat_VHIwRrosxdNEo-_M,Marta Laracuente Salón,(787) 844-5720,"1669 PR-578, Ponce, 00716, Puerto Rico",Ponce,18.0070319,-66.58749,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJq6qq6r7VHIwRzZpuCASgeZ8,Hair Salon By Mailene Rosa,(787) 636-8220,"549 Cll Aceitillo, Ponce, 00731, Puerto Rico",Ponce,18.0053756,-66.59103689999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJk8a9HAZpA4wRVgmnY8BmLhY,Bloom,(787) 781-2525,"100 Av. San Patricio, Guaynabo, 00968, Puerto Rico",Guaynabo,18.4085872,-66.10552559999999,Salones de Belleza,Salones de Belleza,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJJUpQEUZvA4wRj09ZaFNr-Us,Esteban Montes Salon,(787) 725-1111,"1316 Ave Ponce De León, Esq, Av. Hipódromo, San Juan, 00907, Puerto Rico",San Juan,18.4482631,-66.0714433,Spas,Salones de Belleza,Salon de Belleza|Spa,OPERATIONAL,beauty_salon|establishment|point_of_interest|spa
ChIJY4TrxtbVHIwRWaTQfV--eaI,Dream Hair Studio by Yazmin Oriol,(787) 337-0251,"3023 Av. Emilio Fagot, Ponce, 00716, Puerto Rico",Ponce,18.0204537,-66.5996991,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJRxyjqJksHYwR0faViEksw_o,Alta Peluquería By Jary Medina,(787) 836-6561,"18°03'28. 66°43'19., 4""N Calle 7, Ponce, Peñuelas 00731, Puerto Rico",Ponce,18.0578889,-66.72213889999999,Salones de Belleza,Salones de Belleza,Salon de Belleza,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJ3aTfnlJMHYwRdWPXcdzNngk,Salón de Belleza Vilmarie,(787) 464-6080,"3VH6+CPM, PR-313 #736, Cabo Rojo, 00623, Puerto Rico",Cabo Rojo,18.0805932,-67.1400527,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cuidado Capilar|Cabello,OPERATIONAL,beauty_salon|establishment|hair_care|point_of_interest
ChIJt1ey9YXVHIwRIaxLdm5j5WQ,AP Salon by Alberto Pacheco,(787) 400-2426,"2-20 C. Virtud, Ponce, 00730, Puerto Rico",Ponce,18.0139397,-66.61044799999999,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJbzS3fQpqA4wRio3P7xdcGwM,Siempre Diva Salon,(787) 423-6847,"CC-11 Calle 37, Bayamón, 00956, Puerto Rico",Bayamón,18.3672294,-66.1622028,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
ChIJPYG3IudBA4wR_nJ0gIhLIls,Olga's Hair Designs,(787) 203-3154,"R5 Avenida Santa Juanita, Bayamón, 00956, Puerto Rico",Bayamón,18.3573964,-66.1651487,Salones de Belleza,Salones de Belleza,Salon de Belleza|Cabello,OPERATIONAL,beauty_salon|establishment|point_of_interest
